metric,value
prediction_horizon_days,5
execution_lag_days,1
top_n_stocks,5
rebalance_every_n_days,5
random_strategy_trials,10
include_walk_forward,True
walk_forward_refit_every_n_rebalances,5
static_training_rows,53790
train_end_date,2024-02-08
test_start_date,2024-02-09
original_train_rows,53940
leaky_train_rows,180
leaky_train_dates,6
static_model_mse,0.0014904966719527077
static_model_rmse,0.038606951083356836
static_model_mae,0.027428835030106243
static_model_r2,-0.007157481873706351
walk_forward_model_mse,0.0015067234213293082
walk_forward_model_rmse,0.038816535411204695
walk_forward_model_mae,0.027554565956375506
walk_forward_model_r2,-0.018122210845373132
static_random_forest_rebalances,94
static_random_forest_average_period_return,0.003662954886449732
static_random_forest_total_return,0.3538648544167553
walk_forward_random_forest_rebalances,94
walk_forward_random_forest_average_period_return,0.0035218446023941832
walk_forward_random_forest_total_return,0.3387036631877596
equal_weight_universe_rebalances,94
equal_weight_universe_average_period_return,0.0031171362052804883
equal_weight_universe_total_return,0.3039268545590281
omxs30_benchmark_rebalances,94
omxs30_benchmark_average_period_return,0.0023885046617328357
omxs30_benchmark_total_return,0.2177281670354112
random_mean_total_return,0.2963077284229849
random_median_total_return,0.36850649978481553
random_std_total_return,0.24582259564624706
random_min_total_return,-0.2154343837941829
random_max_total_return,0.5675523794810677
static_excess_vs_benchmark,0.1361366873813441
walk_forward_excess_vs_benchmark,0.12097549615234837
static_excess_vs_equal_weight_universe,0.04993799985772718
static_percentile_vs_random,0.5
walk_forward_percentile_vs_random,0.5
