Date;Close price
31-Mar-2026;2 916,990
30-Mar-2026;2 890,291
27-Mar-2026;2 863,918
26-Mar-2026;2 889,812
25-Mar-2026;2 943,348
24-Mar-2026;2 908,351
23-Mar-2026;2 892,186
20-Mar-2026;2 864,693
19-Mar-2026;2 908,966
18-Mar-2026;3 015,273
17-Mar-2026;3 023,592
16-Mar-2026;3 027,731
13-Mar-2026;3 018,719
12-Mar-2026;3 063,089
11-Mar-2026;3 058,955
10-Mar-2026;3 082,614
09-Mar-2026;2 992,864
06-Mar-2026;3 038,549
05-Mar-2026;3 077,209
04-Mar-2026;3 118,014
03-Mar-2026;3 082,966
02-Mar-2026;3 168,388
27-Feb-2026;3 222,753
26-Feb-2026;3 205,277
25-Feb-2026;3 195,566
24-Feb-2026;3 190,867
23-Feb-2026;3 166,647
20-Feb-2026;3 180,456
19-Feb-2026;3 157,963
18-Feb-2026;3 166,108
17-Feb-2026;3 130,122
16-Feb-2026;3 121,803
13-Feb-2026;3 119,756
12-Feb-2026;3 123,649
11-Feb-2026;3 145,475
10-Feb-2026;3 136,544
09-Feb-2026;3 136,558
06-Feb-2026;3 120,449
05-Feb-2026;3 089,670
04-Feb-2026;3 117,929
03-Feb-2026;3 087,346
02-Feb-2026;3 066,861
30-Jan-2026;3 026,568
29-Jan-2026;3 031,392
28-Jan-2026;3 027,467
27-Jan-2026;3 043,945
26-Jan-2026;3 024,151
23-Jan-2026;3 013,634
22-Jan-2026;3 003,061
21-Jan-2026;2 988,020
20-Jan-2026;2 976,371
19-Jan-2026;2 984,581
16-Jan-2026;3 039,091
15-Jan-2026;3 036,642
14-Jan-2026;2 983,908
13-Jan-2026;2 983,897
12-Jan-2026;2 984,211
09-Jan-2026;2 974,602
08-Jan-2026;2 937,939
07-Jan-2026;2 963,308
05-Jan-2026;2 901,784
02-Jan-2026;2 881,191
30-Dec-2025;2 882,969
29-Dec-2025;2 863,640
23-Dec-2025;2 849,094
22-Dec-2025;2 845,062
19-Dec-2025;2 841,269
18-Dec-2025;2 827,905
17-Dec-2025;2 794,945
16-Dec-2025;2 812,833
15-Dec-2025;2 832,712
12-Dec-2025;2 821,013
11-Dec-2025;2 829,044
10-Dec-2025;2 810,589
09-Dec-2025;2 808,732
08-Dec-2025;2 823,910
05-Dec-2025;2 826,621
04-Dec-2025;2 813,605
03-Dec-2025;2 779,824
02-Dec-2025;2 783,527
01-Dec-2025;2 784,529
28-Nov-2025;2 787,769
27-Nov-2025;2 789,440
26-Nov-2025;2 779,442
25-Nov-2025;2 758,161
24-Nov-2025;2 725,349
21-Nov-2025;2 699,347
20-Nov-2025;2 701,947
19-Nov-2025;2 685,836
18-Nov-2025;2 673,726
17-Nov-2025;2 736,127
14-Nov-2025;2 757,120
13-Nov-2025;2 780,581
12-Nov-2025;2 806,047
11-Nov-2025;2 790,978
10-Nov-2025;2 759,937
07-Nov-2025;2 733,107
06-Nov-2025;2 744,303
05-Nov-2025;2 751,404
04-Nov-2025;2 741,083
03-Nov-2025;2 755,438
31-Oct-2025;2 767,067
30-Oct-2025;2 782,769
29-Oct-2025;2 777,907
28-Oct-2025;2 789,516
27-Oct-2025;2 797,730
24-Oct-2025;2 786,894
23-Oct-2025;2 757,095
22-Oct-2025;2 745,537
21-Oct-2025;2 754,247
20-Oct-2025;2 736,167
17-Oct-2025;2 701,402
16-Oct-2025;2 741,828
15-Oct-2025;2 738,138
14-Oct-2025;2 721,195
13-Oct-2025;2 709,029
10-Oct-2025;2 707,498
09-Oct-2025;2 730,055
08-Oct-2025;2 733,491
07-Oct-2025;2 722,116
06-Oct-2025;2 741,293
03-Oct-2025;2 728,966
